pair_id,negative,positive,category,source,include
01,gluttonous,moderate,Eating Characteristic,Warren,yes
02,lazy,diligent,Work Ethic,Warren,yes
03,greedy,charitable,Morality,Warren,yes
04,unhealthy,healthy,Health,Warren,yes
05,gourmand,nibbler,Eating Characteristic,Proposed,no
06,entitled,humble,Wealth & Class,Proposed,no
07,extravagant,frugal,Expenditure & Spending,Proposed,no
08,sedentary,energetic,Movement Based,Proposed,no
09,undisciplined eater,disciplined eater,Eating Habits,Proposed,no
10,undignified,civilized,,Warren,no
11,disgusting,clean,Sanitation,Warren,no
12,sinful,virtuous,Morality,Warren,no
13,immoral,moral,Morality,Warren,no
14,inept,competent,Ability,Warren,no
15,unintelligent,intelligent,Mental Capability,Warren,no
16,bad,good,,Warren,no
17,weak-willed,strong-willed,Willpower,Warren,no
18,poor,wealthy,,Warren,no
19,ungodly,godly,Divinity,Warren,no
20,irrational,rational,Rationality,Warren,no
21,sloppy,put-together,,Warren,no
22,immoderate,austere,,Warren,no
23,gross,refined,,Warren,no
24,impure,pure,Purity,Warren,no